Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Q1,Q_NMOS_GSD,SOT-23,63.0,-35.5,180.0,top
Q2,Q_PMOS_GSD,SOT-23,68.0625,-35.5,180.0,top
Q3,Q_NMOS_GSD,SOT-23,77.9375,-35.5,180.0,top
Q4,Q_PMOS_GSD,SOT-23,83.0,-35.5,180.0,top
Q5,Q_NMOS_GSD,SOT-23,93.0,-35.5,180.0,top
Q6,Q_PMOS_GSD,SOT-23,98.0625,-35.5,180.0,top
Q7,Q_NMOS_GSD,SOT-23,107.9375,-35.5,180.0,top
Q8,Q_PMOS_GSD,SOT-23,113.0,-35.5,180.0,top
Q9,Q_NMOS_GSD,SOT-23,123.0,-35.5,180.0,top
Q10,Q_PMOS_GSD,SOT-23,128.0625,-35.5,180.0,top
Q11,Q_NMOS_GSD,SOT-23,137.9375,-35.5,180.0,top
Q12,Q_PMOS_GSD,SOT-23,143.0,-35.5,180.0,top
Q13,Q_PMOS_GSD,SOT-23,63.0,-40.5,180.0,top
Q14,Q_NMOS_GSD,SOT-23,68.0,-40.5,180.0,top
Q15,Q_PMOS_GSD,SOT-23,77.9375,-40.5,180.0,top
Q16,Q_NMOS_GSD,SOT-23,82.9375,-40.5,180.0,top
Q17,Q_PMOS_GSD,SOT-23,93.0,-40.5,180.0,top
Q18,Q_NMOS_GSD,SOT-23,98.0,-40.5,180.0,top
Q19,Q_PMOS_GSD,SOT-23,107.9375,-40.5,180.0,top
Q20,Q_NMOS_GSD,SOT-23,112.9375,-40.5,180.0,top
Q21,Q_PMOS_GSD,SOT-23,123.0,-40.5,180.0,top
Q22,Q_NMOS_GSD,SOT-23,128.0,-40.5,180.0,top
Q23,Q_PMOS_GSD,SOT-23,137.9375,-40.5,180.0,top
Q24,Q_NMOS_GSD,SOT-23,142.9375,-40.5,180.0,top
Q25,Q_NMOS_GSD,SOT-23,63.0,-45.5,180.0,top
Q26,Q_PMOS_GSD,SOT-23,68.0625,-45.5,180.0,top
Q27,Q_NMOS_GSD,SOT-23,77.9375,-45.5,180.0,top
Q28,Q_PMOS_GSD,SOT-23,83.0,-45.5,180.0,top
Q29,Q_NMOS_GSD,SOT-23,93.0,-45.5,180.0,top
Q30,Q_PMOS_GSD,SOT-23,98.0625,-45.5,180.0,top
Q31,Q_NMOS_GSD,SOT-23,107.9375,-45.5,180.0,top
